OBJECTID,Site_ID,Sand,Silt,Clay,SF_Very_Fine,SF_Fine,SF_Medium,SF_Coarse,SF_Very_Coarse,Texture_Abbrev,Texture
1,11-12,89.099999999999994,4.200000000000000,6.700000000000000,1.535900000000000,6.021500000000000,0.980500000000000,0.047400000000000,0.044700000000000,S,Sand
2,12-12,87.599999999999994,6.200000000000000,6.200000000000000,0.714600000000000,6.047600000000000,1.762000000000000,0.051400000000000,0.011700000000000,LS,Loamy sand
3,13-12,84.200000000000003,5.500000000000000,10.300000000000001,1.655300000000000,6.040800000000000,0.367500000000000,0.042500000000000,0.075100000000000,LS,Loamy sand
4,14-12,94.200000000000003,1.400000000000000,4.400000000000000,2.482200000000000,6.544400000000000,0.268500000000000,0.030900000000000,0.010500000000000,S,Sand
5,21-3,76.099999999999994,20.300000000000001,3.600000000000000,0.620000000000000,4.319300000000000,0.673300000000000,0.092200000000000,0.303800000000000,LS,Loamy sand
6,21-12,51.000000000000000,14.400000000000000,34.600000000000001,0.715000000000000,3.186600000000000,0.527600000000000,0.051200000000000,0.151300000000000,SCL,Sandy clay loam
7,22-3,88.000000000000000,7.200000000000000,4.800000000000000,1.413000000000000,6.074100000000000,0.538100000000000,0.080900000000000,0.177100000000000,S,Sand
8,22-12,74.599999999999994,9.500000000000000,15.900000000000000,0.888200000000000,4.583700000000000,0.473300000000000,0.080400000000000,0.111000000000000,SL,Sandy loam
9,23-12,68.400000000000006,19.899999999999999,11.699999999999999,1.702800000000000,4.405600000000000,0.224800000000000,0.040200000000000,0.090200000000000,SL,Sandy loam
10,24-3,93.400000000000006,1.800000000000000,4.800000000000000,4.615300000000000,4.273800000000000,0.186000000000000,0.036800000000000,0.067600000000000,S,Sand
11,31-12,4.300000000000000,55.799999999999997,39.899999999999999,0.148200000000000,0.148200000000000,0.056700000000000,0.034100000000000,0.051500000000000,SiCL,Silty clay loam
12,32-12,13.699999999999999,30.800000000000001,55.500000000000000,0.217100000000000,0.265200000000000,0.523600000000000,0.184700000000000,0.062900000000000,C,Clay
13,34-12,4.400000000000000,28.800000000000001,66.799999999999997,0.204200000000000,0.109800000000000,0.046100000000000,0.021000000000000,0.012700000000000,HC,Heavy clay
14,41-12,4.500000000000000,31.500000000000000,64.000000000000000,0.230300000000000,0.101100000000000,0.033700000000000,0.015700000000000,0.031100000000000,HC,Heavy clay
15,42-12,3.500000000000000,31.500000000000000,65.000000000000000,0.170000000000000,0.075600000000000,0.025800000000000,0.019900000000000,0.015500000000000,HC,Heavy clay
16,43-12,7.700000000000000,24.899999999999999,67.400000000000006,0.465300000000000,0.182500000000000,0.048400000000000,0.016200000000000,0.011600000000000,HC,Heavy clay
17,44-12,4.000000000000000,62.799999999999997,33.200000000000003,0.224500000000000,0.093100000000000,0.029900000000000,0.020300000000000,0.018100000000000,SiCL,Silty clay loam
18,45-12,2.100000000000000,27.699999999999999,70.200000000000003,0.095900000000000,0.061800000000000,0.022300000000000,0.006100000000000,0.003600000000000,HC,Heavy clay
19,51-5,39.399999999999999,20.100000000000001,40.500000000000000,2.084300000000000,1.510600000000000,0.123300000000000,0.026000000000000,0.025300000000000,C,Clay
20,51-12,33.100000000000001,17.600000000000001,49.299999999999997,1.809500000000000,1.112300000000000,0.084000000000000,0.024800000000000,0.009700000000000,C,Clay
21,52-12,52.299999999999997,18.100000000000001,29.600000000000001,3.025500000000000,1.788800000000000,0.101000000000000,0.013900000000000,0.001700000000000,SCL,Sandy clay loam
22,53-12,57.799999999999997,13.100000000000000,29.100000000000001,2.984200000000000,2.280400000000000,0.135700000000000,0.012100000000000,0.003300000000000,SCL,Sandy clay loam
23,54-3,75.099999999999994,6.300000000000000,18.600000000000001,4.587200000000000,2.868700000000000,0.133900000000000,0.013600000000000,0.007400000000000,SL,Sandy loam
24,54-12,87.400000000000006,4.800000000000000,7.800000000000000,2.503100000000000,4.018400000000000,1.443900000000000,0.332600000000000,0.137400000000000,LS,Loamy sand
25,55-12,4.000000000000000,25.199999999999999,70.900000000000006,0.168900000000000,0.139000000000000,0.081900000000000,0.014600000000000,0.052100000000000,HC,Heavy clay
26,61-12,83.299999999999997,4.900000000000000,11.800000000000001,5.638600000000000,2.322800000000000,0.075400000000000,0.015200000000000,0.009500000000000,LS,Loamy sand
27,62-12,90.000000000000000,2.400000000000000,7.600000000000000,5.648300000000000,2.790000000000000,0.087600000000000,0.012100000000000,0.010100000000000,S,Sand
28,63-12,86.599999999999994,3.700000000000000,9.699999999999999,4.720400000000000,3.017800000000000,0.465600000000000,0.079900000000000,0.015700000000000,LS,Loamy sand
29,64-3,32.200000000000003,19.199999999999999,48.600000000000001,2.007000000000000,0.897800000000000,0.083000000000000,0.020000000000000,0.013600000000000,C,Clay
30,64-12,61.500000000000000,9.800000000000001,28.699999999999999,3.532000000000000,1.953800000000000,0.099800000000000,0.016500000000000,0.003600000000000,SCL,Sandy clay loam
31,65-12,34.100000000000001,17.600000000000001,48.200000000000003,1.884100000000000,1.073900000000000,0.130000000000000,0.021400000000000,0.011900000000000,C,Clay
32,71-12,93.500000000000000,0.200000000000000,6.300000000000000,5.214100000000000,3.834300000000000,0.162300000000000,0.013300000000000,0.000600000000000,S,Sand
33,72-12,93.599999999999994,1.500000000000000,4.900000000000000,5.502100000000000,3.401100000000000,0.220700000000000,0.030500000000000,0.010000000000000,S,Sand
34,73-12,89.000000000000000,3.800000000000000,7.200000000000000,6.266800000000000,2.257600000000000,0.055300000000000,0.009700000000000,0.007000000000000,S,Sand
